User_ID,Age,Gender,Location,Income,Interests,Last_Login_Days_Ago,Purchase_Frequency,Average_Order_Value,Total_Spending,Product_Category_Preference,Time_Spent_on_Site_Minutes,Pages_Viewed,Newsletter_Subscription,Age_Group,Income_Tier,Engagement_Score,Revenue_Per_Visit,Recency_Score,CLV_Proxy,Interest_Category_Match,Power_User
#1,56,Male,Suburban,38037,Sports,5,7,18,2546,Books,584,38,True,56+,Low,0.8447,261.58,24,126,0,1
#2,46,Female,Rural,103986,Technology,15,7,118,320,Electronics,432,40,False,46-55,High,0.7681,44.44,14,826,1,0
#3,32,Female,Suburban,101942,Sports,28,1,146,3766,Apparel,306,1,True,26-35,High,0.2171,738.43,1,146,0,0
#4,60,Female,Suburban,71612,Fashion,18,3,163,4377,Apparel,527,29,False,56+,Mid,0.5995,498.33,11,489,1,0
#5,25,Male,Suburban,49725,Travel,2,5,141,4502,Health & Beauty,53,10,True,18-25,Low,0.2806,5096.6,27,705,0,0
#6,38,Male,Suburban,25926,Travel,22,8,25,2669,Books,520,28,False,36-45,Low,0.7835,307.96,7,200,1,0
#7,56,Male,Urban,124555,Fashion,11,7,152,1113,Home & Kitchen,330,31,True,56+,High,0.652,202.36,18,1064,0,1
#8,36,Male,Urban,29496,Technology,26,7,108,2151,Apparel,558,19,True,36-45,Low,0.7107,231.29,3,756,0,1
#9,40,Male,Rural,76447,Travel,25,6,130,4085,Books,325,3,True,36-45,Mid,0.4352,754.15,4,780,1,0
#10,28,Male,Urban,121604,Food,13,8,61,4999,Electronics,114,36,False,26-35,High,0.5955,2631.05,16,488,0,0
#11,28,Male,Urban,49806,Travel,4,1,78,4410,Health & Beauty,147,43,True,26-35,Low,0.3864,1800.0,25,78,0,0
#12,41,Male,Rural,108199,Food,22,2,14,3119,Electronics,166,15,False,36-45,High,0.2614,1127.35,7,28,0,0
#13,53,Female,Rural,61321,Fashion,7,9,29,3781,Apparel,379,33,True,46-55,Mid,0.771,598.58,22,261,1,1
#14,57,Female,Rural,142041,Fashion,29,7,88,1543,Apparel,139,41,True,56+,High,0.6025,666.04,0,616,1,0
#15,41,Male,Urban,122031,Travel,11,5,155,4296,Electronics,299,43,False,36-45,High,0.6311,862.07,18,775,0,0
